epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,3689.46,1.30694,0.99222,1.32392,0.77159,0.75674,0.80592,0.50728,1.39583,0.89865,1.46189,0.004456,0.004456,0.004456
114,3722.04,1.32678,1.01147,1.33517,0.81956,0.69017,0.80455,0.50294,1.39391,0.91404,1.4597,0.0044065,0.0044065,0.0044065
115,3754.63,1.31998,0.99003,1.32758,0.757,0.74107,0.78783,0.49635,1.38862,0.94453,1.45283,0.004357,0.004357,0.004357
116,3787.43,1.3179,1.02273,1.3431,0.79621,0.73568,0.80107,0.50313,1.40664,0.92913,1.46299,0.0043075,0.0043075,0.0043075
117,3819.82,1.2969,0.98139,1.31704,0.78238,0.74283,0.80897,0.51214,1.39713,0.91777,1.4594,0.004258,0.004258,0.004258
118,3852.49,1.32674,0.95479,1.33754,0.7955,0.75049,0.81549,0.51522,1.36138,0.91298,1.44037,0.0042085,0.0042085,0.0042085
119,3885.44,1.32504,0.99782,1.3415,0.73775,0.77215,0.80784,0.50664,1.383,0.89056,1.44963,0.004159,0.004159,0.004159
120,3918.25,1.31109,0.99972,1.33538,0.7977,0.71938,0.79735,0.50145,1.36682,0.92564,1.44023,0.0041095,0.0041095,0.0041095
121,3950.87,1.3245,1.00752,1.34262,0.75962,0.76012,0.8038,0.48698,1.44167,0.91548,1.49304,0.00406,0.00406,0.00406
122,3983.4,1.29053,0.97976,1.3139,0.77115,0.75968,0.81058,0.51157,1.39019,0.90313,1.44969,0.0040105,0.0040105,0.0040105
123,4016.46,1.30141,0.96584,1.32935,0.79915,0.74647,0.82322,0.50817,1.40247,0.88041,1.46219,0.003961,0.003961,0.003961
124,4048.89,1.28716,0.97071,1.31407,0.80606,0.74924,0.81677,0.51266,1.39933,0.88028,1.4702,0.0039115,0.0039115,0.0039115
125,4082.32,1.29566,0.95734,1.32562,0.77474,0.75317,0.80909,0.50921,1.39605,0.89892,1.46527,0.003862,0.003862,0.003862
126,4115.4,1.31333,0.97065,1.33008,0.82361,0.73347,0.82264,0.51693,1.3821,0.85456,1.45718,0.0038125,0.0038125,0.0038125
127,4148.33,1.28825,0.95038,1.30769,0.78858,0.73113,0.80974,0.51157,1.38928,0.89111,1.46161,0.003763,0.003763,0.003763
128,4181.45,1.2905,0.96861,1.31704,0.78432,0.76589,0.82549,0.52445,1.36966,0.85538,1.44417,0.0037135,0.0037135,0.0037135
129,4213.81,1.30335,0.97747,1.33144,0.77642,0.76472,0.81245,0.51353,1.37164,0.87295,1.44318,0.003664,0.003664,0.003664
130,4245.15,1.28153,0.95086,1.3045,0.7884,0.76799,0.8159,0.52313,1.3687,0.86494,1.44434,0.0036145,0.0036145,0.0036145
131,4276.69,1.27441,0.94418,1.31054,0.81959,0.74447,0.81969,0.52879,1.36669,0.85223,1.43495,0.003565,0.003565,0.003565
132,4308.26,1.2698,0.92774,1.29532,0.76667,0.7825,0.81598,0.51098,1.38582,0.88822,1.45229,0.0035155,0.0035155,0.0035155
133,4339.47,1.28972,0.96105,1.32047,0.78554,0.76249,0.82178,0.5188,1.35959,0.872,1.42845,0.003466,0.003466,0.003466
134,4372.08,1.26707,0.92557,1.29366,0.81675,0.73835,0.81777,0.51959,1.37395,0.86908,1.44181,0.0034165,0.0034165,0.0034165
135,4404.16,1.28823,0.94955,1.31674,0.78996,0.75886,0.81659,0.51168,1.41235,0.8593,1.46833,0.003367,0.003367,0.003367
136,4436.22,1.28496,0.95064,1.31541,0.77674,0.77338,0.8216,0.5212,1.37918,0.85959,1.44761,0.0033175,0.0033175,0.0033175
137,4467.85,1.26344,0.92529,1.29688,0.80107,0.77375,0.81323,0.50632,1.39309,0.87542,1.45263,0.003268,0.003268,0.003268
138,4499.33,1.2583,0.92717,1.29528,0.80549,0.74422,0.82263,0.51992,1.3541,0.86286,1.42318,0.0032185,0.0032185,0.0032185
139,4530.82,1.25945,0.93795,1.28838,0.79194,0.76619,0.81985,0.51887,1.35864,0.86433,1.43861,0.003169,0.003169,0.003169
140,4562.26,1.28091,0.92538,1.31039,0.78108,0.76086,0.81462,0.50616,1.39869,0.87968,1.4595,0.0031195,0.0031195,0.0031195
141,4593.73,1.26679,0.91989,1.31144,0.80045,0.77634,0.82,0.52228,1.35781,0.8614,1.43459,0.00307,0.00307,0.00307
142,4625.28,1.27749,0.91305,1.30513,0.80939,0.75967,0.82541,0.51426,1.39558,0.85534,1.45521,0.0030205,0.0030205,0.0030205
143,4656.31,1.27419,0.93481,1.30332,0.7805,0.77446,0.82307,0.52022,1.37587,0.85825,1.44412,0.002971,0.002971,0.002971
144,4687.34,1.24986,0.89691,1.28594,0.8247,0.75883,0.8265,0.52402,1.37778,0.84394,1.44065,0.0029215,0.0029215,0.0029215
145,4718.36,1.27463,0.93228,1.30887,0.80719,0.75593,0.82538,0.52694,1.37055,0.84135,1.43597,0.002872,0.002872,0.002872
146,4749.39,1.23864,0.89957,1.28326,0.78521,0.77204,0.82378,0.52214,1.37924,0.84866,1.44433,0.0028225,0.0028225,0.0028225
